Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2002-04,2002-04,2002-04,,0,,http://reference.data.gov.uk/id/month/2002-04
2003-04,2003-04,2003-04,,1,,http://reference.data.gov.uk/id/month/2003-04
2004-04,2004-04,2004-04,,2,,http://reference.data.gov.uk/id/month/2004-04
2005-04,2005-04,2005-04,,3,,http://reference.data.gov.uk/id/month/2005-04
2006-04,2006-04,2006-04,,4,,http://reference.data.gov.uk/id/month/2006-04
2007-04,2007-04,2007-04,,5,,http://reference.data.gov.uk/id/month/2007-04
2008-04,2008-04,2008-04,,6,,http://reference.data.gov.uk/id/month/2008-04
2009-04,2009-04,2009-04,,7,,http://reference.data.gov.uk/id/month/2009-04
2010-04,2010-04,2010-04,,8,,http://reference.data.gov.uk/id/month/2010-04
2011-04,2011-04,2011-04,,9,,http://reference.data.gov.uk/id/month/2011-04
2012-04,2012-04,2012-04,,10,,http://reference.data.gov.uk/id/month/2012-04
2013-04,2013-04,2013-04,,11,,http://reference.data.gov.uk/id/month/2013-04
2014-04,2014-04,2014-04,,12,,http://reference.data.gov.uk/id/month/2014-04
2015-04,2015-04,2015-04,,13,,http://reference.data.gov.uk/id/month/2015-04
2016-04,2016-04,2016-04,,14,,http://reference.data.gov.uk/id/month/2016-04
2017-04,2017-04,2017-04,,15,,http://reference.data.gov.uk/id/month/2017-04
2018-04,2018-04,2018-04,,16,,http://reference.data.gov.uk/id/month/2018-04
2019-04,2019-04,2019-04,,17,,http://reference.data.gov.uk/id/month/2019-04
2020-04,2020-04,2020-04,,18,,http://reference.data.gov.uk/id/month/2020-04
2021-04,2021-04,2021-04,,19,,http://reference.data.gov.uk/id/month/2021-04
2022-04,2022-04,2022-04,,20,,http://reference.data.gov.uk/id/month/2022-04
2023-04,2023-04,2023-04,,21,,http://reference.data.gov.uk/id/month/2023-04
2024-04,2024-04,2024-04,,22,,http://reference.data.gov.uk/id/month/2024-04
