AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e92000001,England,Nation,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,41.0624097009045,Percentage,%,,,,1,
e12000001,North East,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,56.9427967350418,Percentage,%,,,,1,
e12000002,North West ,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,59.5517828380575,Percentage,%,,,,1,
e12000003,Yorkshire and The Humber,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,67.9415466508654,Percentage,%,,,,1,
e12000004,East Midlands,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,0.0,Percentage,%,,,,1,
e12000005,West Midlands,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,48.9757215026603,Percentage,%,,,,1,
e12000006,East of England,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,14.1263774208834,Percentage,%,,,,1,
e12000007,London,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,100.0,Percentage,%,,,,1,
e12000008,"South East
",Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,0.0,Percentage,%,,,,1,
e12000009,South West,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,2023-01-13t00-00-00,16.7040561261999,Percentage,%,,,,1,
