AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e92000001,england,nation,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,89.05726225,Percentage,%,,,,1,
e12000001,north-east,region,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,90.86918349,Percentage,%,,,,1,
e06000047,county-durham,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,88.25757576,Percentage,%,,,,1,
e06000005,darlington,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,88.0952381,Percentage,%,,,,1,
e06000001,hartlepool,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,89.47368421,Percentage,%,,,,1,
e06000002,middlesbrough,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,89.47368421,Percentage,%,,,,1,
e06000057,northumberland,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,93.86503067,Percentage,%,,,,1,
e06000003,redcar-and-cleveland,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,89.65517241,Percentage,%,,,,1,
e06000004,stockton-on-tees,county-or-unitary-authority,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,93.58974359,Percentage,%,,,,1,
e08000037,gateshead,local-authority-district,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,92.85714286,Percentage,%,,,,1,
e08000021,newcastle-upon-tyne,local-authority-district,Schools and nursery schools rated good or outstanding by Ofsted,Schools and nursery schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2023-10-31t00-00-00,88.7755102,Percentage,%,,,,1,
