areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes,notes
W92000004,Wales,Nation,Apprenticeship starts (Wales),2012-08-01/P1Y,1079,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2024-08-01/P1Y,698,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2023-08-01/P1Y,802,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2022-08-01/P1Y,859,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2020-08-01/P1Y,791,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2019-08-01/P1Y,864,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2021-08-01/P1Y,762,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2017-08-01/P1Y,1205,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2016-08-01/P1Y,940,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2015-08-01/P1Y,925,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2014-08-01/P1Y,752,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2013-08-01/P1Y,1053,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship starts (Wales),2018-08-01/P1Y,1000,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,763,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,609,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,799,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,801,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,769,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,745,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,1231,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1218,"Rate per 100,000 population","Rate per 100,000 population",,,,,
