areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2001-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2024-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2023-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2022-04-01/P1Y,4,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2021-04-01/P1Y,4,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2020-04-01/P1Y,5,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2019-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2017-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2016-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2015-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2014-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2013-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2018-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2011-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2010-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2009-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2008-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2007-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2006-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2005-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2004-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2003-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2002-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W92000004,Wales,Nation,Net additions to the housing stock (Wales),2012-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2015-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2016-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2017-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2018-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2019-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2024-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2021-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2022-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2023-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2014-04-01/P1Y,6,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2020-04-01/P1Y,8,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2013-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2006-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2011-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2002-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2003-04-01/P1Y,13,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2004-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2005-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2001-04-01/P1Y,10,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2007-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2008-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2009-04-01/P1Y,12,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2010-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000001,Isle of Anglesey,Local Authority District,Net additions to the housing stock (Wales),2012-04-01/P1Y,9,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2014-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2023-04-01/P1Y,2,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2022-04-01/P1Y,0,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2021-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2020-04-01/P1Y,2,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2019-04-01/P1Y,5,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2018-04-01/P1Y,5,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2017-04-01/P1Y,5,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2016-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2015-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2024-04-01/P1Y,2,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2013-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2011-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2012-04-01/P1Y,3,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2001-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2002-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2004-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2005-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
W06000002,Gwynedd,Local Authority District,Net additions to the housing stock (Wales),2003-04-01/P1Y,7,"Rate per 1,000 dwellings","Rate per 1,000 dwellings",,,,
