,AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
0,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2001-2002,8.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
1,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,4.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
2,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2020-2021,5.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
3,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2019-2020,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
4,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2018-2019,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
5,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2017-2018,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
6,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2015-2016,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
7,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2014-2015,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
8,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2013-2014,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
9,W92000004,Wales,Nation,"Net additions to the housing stock (per 1,000 stock) (Wales)",Net additions to the housing stock (Wales),Mission 10,"Restoring a sense of community, local pride and belonging",2012-2013,6.0,"Net additional dwellings per 1,000 stock","Net additional dwellings per 1,000 stock",,,,-1,
